Titulo do Livro,Autor,Categoria,Ano de Publicação,Ativo
JavaScript: The Definitive Guide,David Flanagan,Programming,1996,FALSE
O Alquimista,Paulo Coelho,Fantasy,1988,FALSE
Head First Design Patterns,Eric Freeman,Programming,2004,FALSE
A Moreninha,Joaquim Manuel de Macedo,Romance,1844,FALSE
O Guarani,José de Alencar,Romance,1857,TRUE
C Programming Language,Brian Kernighan,Programming,1978,FALSE
Learning Python,Mark Lutz,Programming,1999,TRUE
Clean Code,Robert C. Martin,Programming,2008,TRUE
The Art of Computer Programming,Donald Knuth,Programming,1968,TRUE
O Cortiço,Aluísio Azevedo,Fiction,1890,FALSE
JavaScript: The Definitive Guide,David Flanagan,Programming,1996,FALSE
Introduction to the Theory of Computation,Michael Sipser,Programming,1997,FALSE
You Don't Know JS,Kyle Simpson,Programming,2014,FALSE
Structure and Interpretation of Computer Programs,Harold Abelson,Programming,1985,TRUE
Design Patterns,Erich Gamma,Programming,1994,FALSE
Structure and Interpretation of Computer Programs,Harold Abelson,Programming,1985,TRUE
Mar Morto,Jorge Amado,Fiction,1936,TRUE
C Programming Language,Brian Kernighan,Programming,1978,FALSE
Grande Sertão: Veredas,João Guimarães Rosa,Fiction,1956,TRUE
Capitães da Areia,Jorge Amado,Fiction,1937,FALSE
Vidas Secas,Graciliano Ramos,Fiction,1938,FALSE
O Alienista,Machado de Assis,Fiction,1882,FALSE
Learning Python,Mark Lutz,Programming,1999,TRUE
O Auto da Compadecida,Ariano Suassuna,Comedy,1955,TRUE
Python Crash Course,Eric Matthes,Programming,2015,TRUE
Grande Sertão: Veredas,João Guimarães Rosa,Fiction,1956,TRUE
Senhora,José de Alencar,Romance,1875,TRUE
Eloquent JavaScript,Marijn Haverbeke,Programming,2011,FALSE
Introduction to the Theory of Computation,Michael Sipser,Programming,1997,TRUE
Iracema,José de Alencar,Romance,1865,FALSE
Effective Java,Joshua Bloch,Programming,2001,FALSE
O Alienista,Machado de Assis,Fiction,1882,FALSE
O Auto da Compadecida,Ariano Suassuna,Comedy,1955,FALSE
A Hora da Estrela,Clarice Lispector,Fiction,1977,TRUE
"Amar, Verbo Intransitivo",Mário de Andrade,Fiction,1927,TRUE
Morte e Vida Severina,João Cabral de Melo Neto,Poetry,1955,TRUE
JavaScript Patterns,Stoyan Stefanov,Programming,2010,TRUE
Code Complete,Steve McConnell,Programming,1993,TRUE
Effective Java,Joshua Bloch,Programming,2001,TRUE
Capitães da Areia,Jorge Amado,Fiction,1937,TRUE
The Pragmatic Programmer,Andrew Hunt,Programming,1999,FALSE
You Don't Know JS,Kyle Simpson,Programming,2014,TRUE
JavaScript: The Definitive Guide,David Flanagan,Programming,1996,TRUE
Python Crash Course,Eric Matthes,Programming,2015,FALSE
Eloquent JavaScript,Marijn Haverbeke,Programming,2011,TRUE
O Primo Basílio,Eça de Queirós,Fiction,1878,FALSE
Morte e Vida Severina,João Cabral de Melo Neto,Poetry,1955,TRUE
Dom Casmurro,Machado de Assis,Fiction,1899,FALSE
Iracema,José de Alencar,Romance,1865,FALSE
